"date","google.influenza","google.influenza virus","google.grippe","google.grippe influenza","google.influenza rki","google.rki","google.influenza impfung","google.symptome influenza","google.hämophilus influenza","google.inkubationszeit","google.influenza inkubationszeit","google.influenza 2013","google.influenza 2015","google.haemophilus influenza","google.influenza impfung pferd","google.influenza a virus","google.influenza impfstoff","google.influenza 2012","google.influenza viren","google.grippewelle","google.influenza h1n1","google.schweinegrippe","google.h1n1","google.was ist influenza","google.influenza dauer","google.influenza wie lange ansteckend","google.influenza grippe","google.virus influenza","google.rki influenza","google.influenza symptome","google.symptome","google.inkubationszeit influenza","google.influenza 2016","google.influenza ansteckend","google.influenza ansteckung","google.erkältung","news.influenza","NA"
2010-08-01,4,8.5,3,0,3.7,21.5,29.9,0,31.8,18.1,0,0,0,50.3,55.4,0,17.6,0,0,0,46.5,4.4,54.5,0,0,0,0,7.8,3.9,0,54.7,0,0,0,0,8.1,0,0
2010-08-08,4,9.3,4,0,3.7,27.6,0,4.9,0,18.1,0,0,0,48.6,0,31.9,0,0,0,0,0,6.5,35.8,0,0,0,0,8.5,3.9,4.9,56.7,0,0,0,0,10.1,0,0
2010-08-15,6.1,5.4,4,7,3.7,43,18.1,0,0,21.1,0,0,0,48.6,54.3,0,17.2,0,0,0,0,4.4,42,0,0,0,7,5,3.9,0,58.6,0,0,0,0,12.1,13.5,13.5
2010-08-22,7.1,12.4,4,0,3.7,33.8,34.5,0,0,18.1,0,0,0,46.9,52.1,30.3,0,0,41.9,1,110.6,6.5,48.3,28.1,0,0,0,11.3,3.9,0,60.6,0,0,0,0,14.1,0,0
2010-08-29,8.1,5.4,5,3,3.7,30.7,17.2,0,0,18.1,0,0,0,0,0,31.1,0,0,0,1,0,4.4,38.9,0,0,0,3,5,3.9,0,56.7,0,0,0,0,22.2,0,0
2010-09-05,7.1,8.5,5,3,3.7,27.6,25.4,9.7,0,18.1,0,0,0,95.5,0,30.3,0,0,41.9,1,0,6.5,32.7,0,0,0,3,7.8,3.9,10.7,58.6,0,0,0,0,25.2,0,0
2010-09-12,8.1,5.4,7,10.1,0,30.7,33.5,0,0,21.1,5.6,0,0,0,103.1,0,16.5,0,0,1,44,8.7,59.2,0,14.3,0,10.1,5,0,0,58.6,5.2,0,0,0,27.2,13.5,13.5
2010-09-19,5.1,5.4,7,3,0,30.7,28.1,0,0,21.1,0,0,0,46.9,51,0,0,0,41.1,2,44,8.7,52.9,0,0,0,3,5,0,0,58.6,0,0,0,0,28.2,0,0
2010-09-26,9.1,12.4,8,6,3.7,33.8,32.6,0,58.1,18.1,0,0,0,45.1,49.9,0,21.5,0,0,1,42.7,4.4,40.5,0,13.7,0,6,11.3,3.9,0,58.6,0,0,0,0,28.2,0,0
2010-10-03,8.1,12.4,7,3,3.7,24.6,58.9,4.9,0,24.1,0,0,0,46.9,52.1,30.3,16.5,0,0,1,65.4,4.4,46.7,0,0,0,3,11.3,3.9,4.9,60.6,0,0,0,0,24.2,13.5,13.5
